INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
1,1,1,TANK,0,0,8,2947,1425,4611
1,2,1,DAMAGE,1,0,3,1818,0,650
1,3,1,DAMAGE,2,0,7,4735,487,308
1,4,1,SUPPORT,1,0,3,2078,2748,0
1,5,1,SUPPORT,1,1,3,269,5848,189
1,6,2,DAMAGE,17,0,1,5906,0,1044
1,7,2,DAMAGE,12,0,1,5907,0,0
1,8,2,SUPPORT,8,6,0,2790,4794,0
1,9,2,SUPPORT,10,13,0,2226,5556,208
1,10,2,TANK,17,4,0,4381,0,7181
2,1,1,TANK,23,9,10,10899,163,5789
2,2,1,DAMAGE,22,3,4,7938,0,340
2,3,1,DAMAGE,21,2,11,11522,1304,231
2,4,1,SUPPORT,0,28,10,60,11726,0
2,5,1,SUPPORT,17,14,7,3894,9805,666
2,6,2,SUPPORT,13,14,7,3694,8473,316
2,7,2,SUPPORT,18,20,7,5677,11922,469
2,8,2,DAMAGE,32,3,6,10120,248,1281
2,9,2,DAMAGE,24,1,7,8344,0,0
2,10,2,TANK,26,12,8,9395,0,6943
3,1,1,TANK,28,9,8,10186,1773,2747
3,2,1,DAMAGE,22,1,8,8198,0,1646
3,3,1,DAMAGE,38,1,6,11016,0,2151
3,4,1,SUPPORT,20,27,6,4351,6199,113
3,5,1,SUPPORT,10,26,4,2911,10401,0
3,6,2,SUPPORT,14,19,12,4031,9338,1138
3,7,2,TANK,18,10,8,8550,0,6754
3,8,2,DAMAGE,12,2,10,8030,2979,0
3,9,2,DAMAGE,20,0,10,7761,0,360
3,10,2,SUPPORT,10,14,11,3000,9102,528
4,1,1,TANK,19,3,5,8889,0,4876
4,2,1,DAMAGE,15,0,2,6605,33,273
4,3,1,DAMAGE,11,2,6,5815,486,0
4,4,1,SUPPORT,13,6,4,5963,6442,0
4,5,1,SUPPORT,1,20,3,60,11359,0
4,6,2,DAMAGE,15,1,8,6371,893,402
4,7,2,SUPPORT,4,8,5,1343,9564,253
4,8,2,DAMAGE,9,4,7,7314,0,1785
4,9,2,TANK,14,2,3,6561,0,4412
4,10,2,SUPPORT,15,6,3,6721,7679,0
5,1,1,TANK,4,0,6,2900,0,5068
5,2,1,DAMAGE,5,1,3,4054,0,0
5,3,1,DAMAGE,1,1,6,2518,61,334
5,4,1,SUPPORT,3,2,6,1769,3174,0
5,5,1,SUPPORT,3,5,5,1565,3681,293
5,6,2,DAMAGE,10,2,2,2455,0,0
5,7,2,SUPPORT,11,9,2,1554,4459,735
5,8,2,DAMAGE,11,0,2,3734,0,102
5,9,2,TANK,23,7,0,6419,0,6264
5,10,2,SUPPORT,9,13,1,1973,4810,0
6,1,1,TANK,31,6,11,15611,0,14670
6,2,1,DAMAGE,37,5,11,16752,0,0
6,3,1,DAMAGE,29,0,20,14730,285,1026
6,4,1,SUPPORT,16,19,14,7005,8404,602
6,5,1,SUPPORT,3,38,7,612,24806,0
