I,T,R,E,A,DE,DA,H,M
1 ,1 ,T,0 ,0 ,8 ,"2,947 ","1,425 ","4,611 "
1 ,1 ,D,1 ,0 ,3 ,"1,818 ",0 ,650 
1 ,1 ,D,2 ,0 ,7 ,"4,735 ",487 ,308 
1 ,1 ,S,1 ,0 ,3 ,"2,078 ","2,748 ",0 
1 ,1 ,S,1 ,1 ,3 ,269 ,"5,848 ",189 
1 ,2 ,D,17 ,0 ,1 ,"5,906 ",0 ,"1,044 "
1 ,2 ,D,12 ,0 ,1 ,"5,907 ",0 ,0 
1 ,2 ,S,8 ,6 ,0 ,"2,790 ","4,794 ",0 
1 ,2 ,S,10 ,13 ,0 ,"2,226 ","5,556 ",208 
1 ,2 ,T,17 ,4 ,0 ,"4,381 ",0 ,"7,181 "
2 ,1 ,T,23 ,9 ,10 ,"10,899 ",163 ,"5,789 "
2 ,1 ,D,22 ,3 ,4 ,"7,938 ",0 ,340 
2 ,1 ,D,21 ,2 ,11 ,"11,522 ","1,304 ",231 
2 ,1 ,S,0 ,28 ,10 ,60 ,"11,726 ",0 
2 ,1 ,S,17 ,14 ,7 ,"3,894 ","9,805 ",666 
2 ,2 ,S,13 ,14 ,7 ,"3,694 ","8,473 ",316 
2 ,2 ,S,18 ,20 ,7 ,"5,677 ","11,922 ",469 
2 ,2 ,D,32 ,3 ,6 ,"10,120 ",248 ,"1,281 "
2 ,2 ,D,24 ,1 ,7 ,"8,344 ",0 ,0 
2 ,2 ,T,26 ,12 ,8 ,"9,395 ",0 ,"6,943 "
3 ,1 ,T,28 ,9 ,8 ,"10,186 ","1,773 ","2,747 "
3 ,1 ,D,22 ,1 ,8 ,"8,198 ",0 ,"1,646 "
3 ,1 ,D,38 ,1 ,6 ,"11,016 ",0 ,"2,151 "
3 ,1 ,S,20 ,27 ,6 ,"4,351 ","6,199 ",113 
3 ,1 ,S,10 ,26 ,4 ,"2,911 ","10,401 ",0 
3 ,2 ,S,14 ,19 ,12 ,"4,031 ","9,338 ","1,138 "
3 ,2 ,T,18 ,10 ,8 ,"8,550 ",0 ,"6,754 "
3 ,2 ,D,12 ,2 ,10 ,"8,030 ","2,979 ",0 
3 ,2 ,D,20 ,0 ,10 ,"7,761 ",0 ,360 
3 ,2 ,S,10 ,14 ,11 ,"3,000 ","9,102 ",528 
4 ,1 ,T,19 ,3 ,5 ,"8,889 ",0 ,"4,876 "
4 ,1 ,D,15 ,0 ,2 ,"6,605 ",33 ,273 
4 ,1 ,D,11 ,2 ,6 ,"5,815 ",486 ,0 
4 ,1 ,S,13 ,6 ,4 ,"5,963 ","6,442 ",0 
