I,T,R,E,A,DE,DA,H,M
1,0,0,30,5,19,19702,0,26844
1,0,1,43,0,9,14072,0,0
1,0,1,56,2,18,29354,1959,0
1,0,2,10,48,15,983,18277,0
1,0,2,28,28,13,6948,18287,0
1,1,0,55,14,13,24408,3060,14077
1,1,1,47,6,18,18533,2069,360
1,1,1,41,0,16,16157,2052,0
1,1,2,17,36,12,3040,18193,488
1,1,2,14,41,13,3417,21117,0
2,0,0,3,1,0,437,0,398
2,0,1,1,0,0,384,0,0
2,0,1,4,1,0,663,0,0
2,0,2,0,0,0,0,675,0
2,0,2,0,2,0,26,1110,0
2,1,1,0,0,1,236,0,0
2,1,0,0,0,0,437,0,502
2,1,2,0,0,2,260,113,0
2,1,1,0,0,2,1229,0,0
2,,,,,,,,
3,0,0,0,0,0,331,0,348
3,0,1,0,0,0,18,0,0
3,0,1,0,0,2,397,0,0
3,0,2,0,0,0,113,364,0
3,1,0,0,0,0,447,0,1111
3,1,1,2,0,0,398,0,0
3,1,1,0,0,0,130,37,0
3,1,2,0,0,0,93,385,0
3,1,2,0,0,0,0,368,0
3,,,,,,,,
4,0,,0,0,0,0,0,0
4,0,0,0,0,1,441,0,148
4,0,1,0,0,0,312,0,0
4,0,2,0,0,1,126,291,0
4,0,2,0,0,1,330,521,0
4,1,0,1,0,0,166,0,392
4,1,1,1,0,0,440,0,91
4,1,1,2,0,0,555,255,0
4,1,2,1,0,0,174,480,0
4,1,2,2,1,0,490,347,0
5,0,0,1,0,0,367,68,150
5,0,1,1,0,0,342,0,0
5,0,1,1,0,1,448,0,0
5,0,2,1,0,1,142,639,0
5,1,0,2,0,0,841,0,299
5,1,1,2,0,0,486,0,0
5,1,1,0,0,1,40,0,0
5,1,2,0,1,0,90,317,0
5,1,2,1,2,0,162,151,0
5,,,,,,,,
6,0,0,1,0,1,714,0,142
6,0,1,0,0,2,448,0,85
6,0,1,0,0,1,579,0,0
6,0,2,0,0,1,669,204,0
6,0,2,0,0,1,285,442,0
6,1,0,4,0,1,1289,0,155
6,1,1,4,0,0,1022,0,103
6,1,1,1,0,0,400,123,0
6,1,2,3,1,0,291,1016,0
6,,,,,,,,
7,0,0,1,0,0,1115,0,647
7,0,1,1,1,1,1069,0,398
7,0,1,1,0,0,787,184,0
7,0,2,0,1,0,0,947,0
7,0,2,0,1,0,0,1162,0
7,1,0,0,0,1,605,0,0
7,1,1,1,0,0,1498,0,0
7,1,2,0,1,0,97,1251,0
7,1,2,1,0,0,1122,667,0
7,,,,,,,,
8,0,0,35,7,8,15805,838,8528
8,0,1,22,1,9,7054,0,0
8,0,1,22,0,13,11301,1393,475
8,0,2,27,25,7,6212,9911,31
8,0,2,18,15,9,7249,10267,111
8,1,0,27,8,10,12434,1444,5437
8,1,1,12,4,17,9292,0,0
8,1,1,16,2,4,9140,0,341
8,1,2,14,18,6,5200,11776,19
8,1,2,15,18,12,5108,12687,2292
9,0,0,31,5,11,17464,0,14643
9,0,1,41,0,4,10186,0,0
9,0,1,35,6,11,15830,29,2153
9,0,2,39,26,7,10927,17569,0
9,0,2,28,25,5,9220,11050,595
9,1,0,22,1,9,18301,809,12863
9,1,1,27,6,16,21104,0,3850
9,1,1,20,3,16,9515,33,229
9,1,2,6,23,13,2223,14351,113
9,1,2,11,25,11,3654,14491,17
10,0,0,45,9,9,18159,1195,8666
10,0,1,46,4,10,21321,192,0
10,0,1,32,0,7,15326,0,108
10,0,2,23,24,16,5716,14877,1698
10,0,2,18,38,6,5168,22296,0
10,1,0,21,7,16,16852,307,10347
10,1,1,22,2,14,13792,883,233
10,1,1,29,3,16,18402,61,77
10,1,2,19,20,14,12704,14472,793
10,1,2,17,29,10,5878,16682,4
