INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT
1,1,TANK,19,7,0,5603,0,5294
1,1,DAMAGE,2,0,4,916,0,0
1,1,DAMAGE,14,0,1,5312,0,310
1,1,SUPPORT,6,12,2,1459,3800,333
1,1,SUPPORT,13,6,2,2178,4893,0
1,2,DAMAGE,6,2,3,1910,532,0
1,2,SUPPORT,1,2,4,2209,2835,54
1,2,SUPPORT,0,2,8,1648,1977,0
1,2,TANK,5,0,4,2551,1745,692
1,2,DAMAGE,3,1,8,3675,0,0
2,1,TANK,14,5,3,4126,169,1650
2,1,DAMAGE,18,3,3,3931,0,0
2,1,DAMAGE,20,0,5,4965,702,0
2,1,SUPPORT,7,10,3,2299,4578,523
2,1,SUPPORT,8,18,1,1497,5024,215
2,2,TANK,12,0,6,4163,0,7134
2,2,SUPPORT,3,6,6,1572,3746,0
2,2,SUPPORT,5,3,5,2312,2940,0
2,2,DAMAGE,5,0,5,4411,0,0
2,2,DAMAGE,7,1,6,4031,190,1382
3,1,TANK,21,14,6,10266,1979,3093
3,1,DAMAGE,22,2,5,9397,0,0
3,1,DAMAGE,17,0,5,10004,0,2025
3,1,SUPPORT,10,14,6,3514,8638,1956
3,1,SUPPORT,1,23,4,150,12953,602
3,2,DAMAGE,16,2,5,12654,2146,0
3,2,DAMAGE,16,0,9,9705,0,533
3,2,SUPPORT,7,10,6,2251,9691,1816
3,2,SUPPORT,12,8,6,5274,9546,0
3,2,TANK,10,2,5,7857,0,8585
4,1,TANK,13,6,2,6543,0,3374
4,1,DAMAGE,14,2,2,5658,0,0
4,1,DAMAGE,13,1,6,5432,0,0
4,1,SUPPORT,16,13,2,3268,10767,0
4,1,SUPPORT,16,9,2,4998,5616,124
5,1,TANK,18,5,5,7774,0,14472
5,1,DAMAGE,21,2,2,7377,0,0
5,1,DAMAGE,15,7,7,9430,401,50
5,1,SUPPORT,12,14,4,3257,9624,181
5,1,SUPPORT,9,11,4,1680,6711,510
5,2,SUPPORT,7,8,6,3030,6877,0
5,2,TANK,8,1,5,4857,0,19264
5,2,DAMAGE,11,1,8,6127,0,0
5,2,DAMAGE,12,2,5,11117,0,875
5,2,SUPPORT,6,9,5,944,11150,836
6,1,TANK,25,2,7,12863,0,8528
6,1,DAMAGE,18,6,7,9925,0,0
6,1,DAMAGE,23,2,9,12569,1114,76
6,1,SUPPORT,11,20,6,2956,12707,962
6,1,SUPPORT,14,17,7,4989,9313,0
6,2,TANK,22,3,9,10489,0,24259
6,2,DAMAGE,16,3,8,8985,1618,88
6,2,DAMAGE,24,3,7,11949,0,126
6,2,SUPPORT,13,11,7,3134,11508,1415
6,2,SUPPORT,5,23,8,1325,16192,1275
7,1,TANK,18,8,8,12160,0,13776
7,1,DAMAGE,26,7,5,9726,0,0
7,1,DAMAGE,23,6,17,9482,0,782
7,1,SUPPORT,24,17,9,8015,16035,572
7,1,SUPPORT,13,18,9,2103,16370,1188
7,2,SUPPORT,12,14,8,4674,12423,0
7,2,SUPPORT,17,20,6,3734,12903,599
7,2,DAMAGE,27,2,7,13137,1282,535
7,2,DAMAGE,32,0,11,16480,0,1016
7,2,TANK,22,5,7,13271,0,21708
8,1,TANK,32,9,7,12145,88,13521
8,1,DAMAGE,31,5,9,8592,113,0
8,1,DAMAGE,40,5,10,13325,1290,8
8,1,SUPPORT,38,14,9,8998,11434,0
8,1,SUPPORT,16,36,3,2873,20557,833
8,2,DAMAGE,22,5,16,10157,324,191
8,2,SUPPORT,13,19,10,4562,12110,924
8,2,SUPPORT,13,17,12,5931,13246,159
8,2,DAMAGE,20,2,16,13825,45,1039
8,2,TANK,21,6,11,16199,0,6857
9,1,TANK,15,2,1,5083,0,3754
9,1,DAMAGE,11,0,1,6149,0,0
9,1,DAMAGE,16,0,2,5687,0,6
9,1,SUPPORT,9,16,0,1807,5470,164
9,1,SUPPORT,10,13,1,1365,4141,108
9,2,SUPPORT,0,0,5,853,2404,0
9,2,SUPPORT,0,0,9,838,2990,0
9,2,TANK,3,0,2,3435,4658,627
9,2,DAMAGE,1,0,7,3667,659,95
9,2,DAMAGE,1,0,7,3858,88,926
10,1,TANK,27,11,3,7810,845,4979
10,1,DAMAGE,33,0,3,8695,930,0
10,1,DAMAGE,33,1,3,10112,1229,0
10,1,SUPPORT,13,27,1,2055,13359,413
10,1,SUPPORT,18,16,3,6674,7700,0
10,2,SUPPORT,4,6,7,2695,9098,572
10,2,TANK,7,3,11,7776,0,11565
10,2,SUPPORT,4,4,13,3116,9059,0
10,2,DAMAGE,3,0,9,7801,0,3585
10,2,DAMAGE,8,1,7,7962,1106,12
11,1,TANK,26,5,3,13318,0,16814
11,1,DAMAGE,34,6,8,12935,457,260
11,1,DAMAGE,29,2,9,13717,0,184
11,1,SUPPORT,23,20,2,11074,12750,347
11,1,SUPPORT,2,29,3,275,20169,0
