INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
1,1,TANK,30,5,19,19702,0,26844,DRAW
1,1,DAMAGE,43,0,9,14072,0,0,DRAW
1,1,DAMAGE,56,2,18,29354,1959,0,DRAW
1,1,SUPPORT,10,48,15,983,18277,0,DRAW
1,1,SUPPORT,28,28,13,6948,18287,0,DRAW
1,2,TANK,55,14,13,24408,3060,14077,DRAW
1,2,DAMAGE,47,6,18,18533,2069,360,DRAW
1,2,DAMAGE,41,0,16,16157,2052,0,DRAW
1,2,SUPPORT,17,36,12,3040,18193,488,DRAW
1,2,SUPPORT,14,41,13,3417,21117,0,DRAW
2,1,TANK,30,5,19,19702,0,26844,DRAW
2,1,DAMAGE,43,0,9,14072,0,0,DRAW
2,1,DAMAGE,56,2,18,29354,1959,0,DRAW
2,1,SUPPORT,10,48,15,983,18277,0,DRAW
2,1,SUPPORT,28,28,13,6948,18287,0,DRAW
2,2,TANK,55,14,13,24408,3060,14077,DRAW
2,2,DAMAGE,47,6,18,18533,2069,360,DRAW
2,2,DAMAGE,41,0,16,16157,2052,0,DRAW
2,2,SUPPORT,17,36,12,3040,18193,488,DRAW
2,2,SUPPORT,14,41,13,3417,21117,0,DRAW
3,1,TANK,30,5,19,19702,0,26844,DRAW
3,1,DAMAGE,43,0,9,14072,0,0,DRAW
3,1,DAMAGE,56,2,18,29354,1959,0,DRAW
3,1,SUPPORT,10,48,15,983,18277,0,DRAW
3,1,SUPPORT,28,28,13,6948,18287,0,DRAW
3,2,TANK,55,14,13,24408,3060,14077,DRAW
3,2,DAMAGE,47,6,18,18533,2069,360,DRAW
3,2,DAMAGE,41,0,16,16157,2052,0,DRAW
3,2,SUPPORT,17,36,12,3040,18193,488,DRAW
3,2,SUPPORT,14,41,13,3417,21117,0,DRAW
4,1,TANK,30,5,19,19702,0,26844,DRAW
4,1,DAMAGE,43,0,9,14072,0,0,DRAW
4,1,DAMAGE,56,2,18,29354,1959,0,DRAW
4,1,SUPPORT,10,48,15,983,18277,0,DRAW
4,1,SUPPORT,28,28,13,6948,18287,0,DRAW
4,2,TANK,55,14,13,24408,3060,14077,DRAW
4,2,DAMAGE,47,6,18,18533,2069,360,DRAW
4,2,DAMAGE,41,0,16,16157,2052,0,DRAW
4,2,SUPPORT,17,36,12,3040,18193,488,DRAW
4,2,SUPPORT,14,41,13,3417,21117,0,DRAW
5,1,TANK,30,5,19,19702,0,26844,DRAW
5,1,DAMAGE,43,0,9,14072,0,0,DRAW
5,1,DAMAGE,56,2,18,29354,1959,0,DRAW
5,1,SUPPORT,10,48,15,983,18277,0,DRAW
5,1,SUPPORT,28,28,13,6948,18287,0,DRAW
5,2,TANK,55,14,13,24408,3060,14077,DRAW
5,2,DAMAGE,47,6,18,18533,2069,360,DRAW
5,2,DAMAGE,41,0,16,16157,2052,0,DRAW
5,2,SUPPORT,17,36,12,3040,18193,488,DRAW
5,2,SUPPORT,14,41,13,3417,21117,0,DRAW
6,1,TANK,30,5,19,19702,0,26844,DRAW
6,1,DAMAGE,43,0,9,14072,0,0,DRAW
6,1,DAMAGE,56,2,18,29354,1959,0,DRAW
6,1,SUPPORT,10,48,15,983,18277,0,DRAW
6,1,SUPPORT,28,28,13,6948,18287,0,DRAW
6,2,TANK,55,14,13,24408,3060,14077,DRAW
6,2,DAMAGE,47,6,18,18533,2069,360,DRAW
6,2,DAMAGE,41,0,16,16157,2052,0,DRAW
6,2,SUPPORT,17,36,12,3040,18193,488,DRAW
6,2,SUPPORT,14,41,13,3417,21117,0,DRAW
7,1,TANK,30,5,19,19702,0,26844,DRAW
7,1,DAMAGE,43,0,9,14072,0,0,DRAW
7,1,DAMAGE,56,2,18,29354,1959,0,DRAW
7,1,SUPPORT,10,48,15,983,18277,0,DRAW
7,1,SUPPORT,28,28,13,6948,18287,0,DRAW
7,2,TANK,55,14,13,24408,3060,14077,DRAW
7,2,DAMAGE,47,6,18,18533,2069,360,DRAW
7,2,DAMAGE,41,0,16,16157,2052,0,DRAW
7,2,SUPPORT,17,36,12,3040,18193,488,DRAW
7,2,SUPPORT,14,41,13,3417,21117,0,DRAW
