Battletag,Eliminations,Deaths,Assists,Damage,Healing,Mitigated,Result
JunBin,22,5,10,14600,2421,7580,Defeat
HeeSang,20,7,6,8693,138,58,Defeat
LIP,15,6,0,10286,0,0,Defeat
CH0R0NG,14,4,16,6098,10225,0,Defeat
shu,14,8,9,6171,6811,696,Defeat
HanBin,18,5,13,11063,3397,6824,Victory
Proper,14,7,0,9988,408,1369,Victory
STALK3R,19,6,0,11507,384,0,Victory
ChiYo,12,5,15,4584,12768,0,Victory
Fielder,14,7,21,4808,8716,2593,Victory
JunBin,19,2,8,4412,0,3249,Victory
HeeSang,22,2,0,6573,0,12,Victory
LIP,17,2,0,5463,0,0,Victory
CH0R0NG,12,3,19,3330,5383,3452,Victory
shu,9,2,10,2975,4708,342,Victory
HanBin,7,4,4,4488,370,7764,Defeat
Proper,9,7,0,5646,0,288,Defeat
STALK3R,6,7,0,4718,0,0,Defeat
ChiYo,4,7,7,2230,3210,1702,Defeat
Fielder,8,6,6,3991,4688,850,Defeat
HanBin,18,6,20,10572,4681,8230,Victory
Proper,25,6,0,9514,146,2275,Victory
STALK3R,25,8,0,10522,0,0,Victory
ChiYo,16,7,19,4290,14318,0,Victory
Fielder,14,8,24,5528,7678,3114,Victory
JunBin,21,6,12,13340,4161,6597,Defeat
HeeSang,21,8,6,9864,111,1272,Defeat
LIP,24,7,1,10172,0,1836,Defeat
CH0R0NG,20,6,16,4825,8760,656,Defeat
shu,13,8,23,5338,8820,0,Defeat
HanBin,34,13,0,21352,2495,28384,Victory
Proper,29,13,0,13395,0,0,Victory
STALK3R,32,14,7,23028,0,4,Victory
ChiYo,21,15,29,7838,18133,7617,Victory
Fielder,19,15,24,8366,21587,2293,Victory
JunBin,52,6,8,27175,1718,27229,Defeat
HeeSang,32,13,0,15156,0,0,Defeat
LIP,29,13,6,18289,0,165,Defeat
CH0R0NG,25,14,33,7563,14457,6856,Defeat
shu,31,10,31,10952,23693,1733,Defeat
HanBin,29,8,15,13461,2335,26302,Defeat
Proper,30,9,1,14310,332,556,Defeat
STALK3R,27,13,0,18395,0,191,Defeat
ChiYo,11,15,12,5562,18359,21,Defeat
Fielder,18,17,25,9139,14947,0,Defeat
JunBin,45,4,9,23977,941,25344,Victory
HeeSang,36,11,1,13485,175,464,Victory
LIP,38,8,5,15223,895,0,Victory
CH0R0NG,23,11,27,10703,10042,1771,Victory
shu,18,10,25,8086,17317,632,Victory
HanBin,37,4,25,13273,4168,7196,Victory
Proper,29,7,0,10068,33,2309,Victory
STALK3R,33,6,0,13066,0,0,Victory
ChiYo,21,7,30,5387,8061,2068,Victory
Fielder,21,6,29,5297,8248,0,Victory
JunBin,17,10,15,11891,4096,8477,Defeat
HeeSang,24,9,0,9072,503,1238,Defeat
LIP,20,10,0,8967,0,0,Defeat
CH0R0NG,13,10,14,4282,6101,2346,Defeat
shu,10,10,21,3716,11625,0,Defeat
DONGHAK,31,5,8,10800,400,7318,Victory
Proud,36,7,0,10437,0,0,Victory
ZEST,27,6,2,10081,337,1021,Victory
skewed,25,4,21,7115,9067,1506,Victory
vigilante,20,9,19,6057,9982,535,Victory
Jasm1ne,19,7,6,11293,465,18500,Defeat
Prophet,11,15,0,8661,0,0,Defeat
SeonJun,24,10,0,11477,120,719,Defeat
KIVIS,15,10,13,7108,10030,2014,Defeat
Vindaim,10,12,8,5478,6205,1458,Defeat
DONGHAK,33,4,7,10181,1101,13705,Victory
Proud,36,4,0,9770,0,0,Victory
ZEST,31,3,0,8118,0,0,Victory
skewed,18,4,24,4668,6362,2087,Victory
vigilante,18,3,36,4345,10485,0,Victory
Jasm1ne,13,8,3,10672,687,14379,Defeat
Prophet,3,13,0,6506,0,0,Defeat
SeonJun,15,8,0,6793,0,0,Defeat
KIVIS,8,9,10,3928,7659,0,Defeat
Vindaim,9,8,10,3821,5918,1835,Defeat
DONGHAK,24,6,5,14884,124,9102,Victory
Proud,22,8,0,10919,0,0,Victory
ZEST,23,7,5,10923,902,4473,Victory
skewed,20,5,26,6095,12326,3940,Victory
vigilante,25,3,20,5214,15181,0,Victory
Jasm1ne,19,8,1,14730,1005,21128,Defeat
Prophet,18,8,0,10508,0,0,Defeat
SeonJun,15,8,7,11703,1478,5633,Defeat
KIVIS,14,7,15,5716,10550,0,Defeat
Vindaim,11,12,16,3993,13237,2302,Defeat
Mealgaru,15,5,4,7182,310,13239,Victory
Ade,24,5,2,11609,0,412,Victory
TOPDRAGON,19,3,2,6207,322,3348,Victory
LeeSooMin,12,2,20,3522,4272,2033,Victory
MAKA,10,4,17,3719,7156,702,Victory
HEISER,10,10,2,6864,0,5165,Defeat
A1IEN,14,5,0,6527,0,0,Defeat
SP1NT,11,8,0,6953,99,810,Defeat
CARU,9,4,10,1861,8609,0,Defeat
Misin,10,6,9,2717,7525,812,Defeat
HEISER,41,5,11,22263,0,24141,Victory
A1IEN,31,8,1,16584,0,0,Victory
SP1NT,38,6,0,11643,0,0,Victory
D0nghun,25,8,39,7403,16681,6500,Victory
Misin,24,9,23,6123,16761,1159,Victory
Mealgaru,20,13,5,19142,1953,24083,Defeat
Ade,23,12,0,16480,0,312,Defeat
TOPDRAGON,24,10,0,11408,0,0,Defeat
LeeSooMin,7,12,21,6989,13607,6006,Defeat
MAKA,10,10,18,6421,16310,1367,Defeat
HEISER,11,8,2,7471,0,7727,Defeat
A1IEN,6,9,0,6654,0,1,Defeat
SP1NT,5,7,0,5356,0,1346,Defeat
D0nghun,4,7,7,2622,6660,3626,Defeat
Misin,8,5,7,4373,9032,0,Defeat
Mealgaru,25,3,5,8233,0,8244,Victory
Ade,24,4,0,9156,0,0,Victory
TOPDRAGON,24,2,0,6342,0,0,Victory
LeeSooMin,19,2,23,4660,4732,1680,Victory
MAKA,18,2,26,4806,9432,0,Victory
HEISER,14,7,9,9537,0,10161,Defeat
D4RT,15,8,0,5392,0,0,Defeat
SP1NT,11,5,5,7510,0,0,Defeat
CARU,4,9,7,3233,5967,0,Defeat
Misin,5,9,9,2810,5323,532,Defeat
Mealgaru,24,2,2,8171,925,8712,Victory
Ade,18,4,3,8275,0,572,Victory
TOPDRAGON,19,4,0,5546,0,0,Victory
LeeSooMin,10,4,21,2334,7301,3763,Victory
MAKA,13,4,16,3057,9015,1086,Victory
cuFFa,5,5,0,4824,204,8392,Defeat
Lethal,5,8,0,5851,0,116,Defeat
zeruhh,5,4,0,3572,0,0,Defeat
Admiral,1,8,3,1183,3624,1700,Defeat
UltraViolet,3,6,3,3102,5691,1021,Defeat
DONGHAK,26,1,5,7176,249,6443,Victory
Proud,16,3,0,5664,0,0,Victory
ZEST,19,0,3,7218,0,0,Victory
skewed,10,1,21,1945,6333,1167,Victory
vigilante,14,3,16,3599,5452,200,Victory
cuFFa,17,10,4,10681,0,9099,Defeat
Lethal,12,12,1,10524,0,0,Defeat
zeruhh,13,10,0,10095,426,2570,Defeat
Admiral,13,9,11,5125,8315,2749,Defeat
UltraViolet,8,9,12,4056,15706,0,Defeat
DONGHAK,34,3,9,13753,0,9426,Victory
Proud,28,6,0,14045,0,0,Victory
ZEST,23,8,1,10341,336,1204,Victory
skewed,19,4,18,5879,10117,2126,Victory
vigilante,24,5,24,4139,16273,0,Victory
cuFFa,19,9,2,11867,0,6131,Defeat
Lethal,22,11,0,10706,0,0,Defeat
zeruhh,22,9,0,9515,356,2926,Defeat
Admiral,13,9,16,5688,7492,1994,Defeat
UltraViolet,13,9,12,5199,9577,731,Defeat
DONGHAK,30,4,7,11043,0,5804,Victory
Proud,33,9,0,10131,0,0,Victory
Viper,24,8,1,8813,199,3068,Victory
skewed,17,8,22,5603,8103,2044,Victory
vigilante,20,6,20,3582,15369,0,Victory
Vestola,12,3,4,6702,0,4853,Victory
JaeWoo,12,3,0,4331,63,829,Victory
sHockWave,10,4,0,6652,0,73,Victory
FiXa,10,2,15,3151,6781,3324,Victory
Galaa,12,2,15,2579,8630,0,Victory
Mealgaru,9,5,0,5038,0,4542,Defeat
Ade,10,6,0,5987,0,0,Defeat
TOPDRAGON,11,5,0,6357,0,588,Defeat
LeeSooMin,4,3,7,3769,2541,1336,Defeat
MAKA,5,6,9,3019,5746,0,Defeat
Vestola,35,7,11,19896,0,34375,Victory
JaeWoo,36,8,13,12395,1753,8188,Victory
sHockWave,26,10,0,11983,0,0,Victory
