I,T,RO,E,A,DE,DA,H,M,RE
1,1,T,17,4,11,7945,239,4879,D
1,1,T,14,1,12,9406,0,9421,D
1,1,D,9,7,13,4887,939,5581,D
1,1,D,13,2,11,6044,3869,244,D
1,1,S,15,6,8,6988,4823,0,D
1,1,S,2,10,10,1800,11788,0,D
1,2,T,27,13,3,10703,55,6500,V
1,2,T,31,4,3,11950,0,16497,V
1,2,D,36,0,10,11332,169,1755,V
1,2,D,30,5,5,11185,0,0,V
1,2,S,19,36,3,5334,8800,0,V
1,2,S,11,18,2,1879,11275,558,V
2,1,T,16,8,16,10833,2269,11186,D
2,1,D,22,9,7,9064,3227,6582,D
2,1,D,47,0,8,18670,304,2980,D
2,1,D,35,9,10,13189,0,2147,D
2,1,S,26,26,13,5941,10782,365,D
2,1,S,8,23,12,1561,8969,727,D
2,2,T,23,7,12,9002,690,4742,V
2,2,T,27,10,10,11011,0,12874,V
2,2,D,38,8,13,14502,0,0,V
2,2,D,32,6,12,15128,2619,0,V
2,2,S,18,24,12,6271,9020,44,V
2,2,S,19,27,8,5061,14882,0,V
3,1,T,5,3,8,3798,1461,698,D
3,1,D,8,3,5,5005,973,2104,D
3,1,D,11,3,5,7833,0,1042,D
3,1,D,11,2,4,6026,0,0,D
3,1,S,4,8,5,2049,5966,677,D
3,1,S,15,0,8,5220,3256,0,D
3,2,T,12,4,4,4713,0,3361,V
3,2,T,23,7,3,6166,0,3967,V
3,2,D,15,0,4,5652,0,974,V
3,2,D,12,4,5,4169,1072,4941,V
3,2,S,19,19,2,4632,6562,908,V
3,2,S,13,15,3,2139,7759,0,V
4,1,T,10,8,7,6854,0,5337,D
4,1,T,8,1,6,7122,1810,4013,D
4,1,D,8,1,4,5732,622,2836,D
4,1,D,13,1,9,6130,1524,0,D
4,1,D,3,4,7,4198,4088,143,D
4,1,S,4,9,6,3221,7058,664,D
4,2,T,17,1,3,5834,3126,473,V
4,2,T,23,15,2,8543,426,5844,V
4,2,D,29,0,5,9530,0,0,V
4,2,D,20,7,2,7849,1104,3907,V
4,2,S,2,23,5,260,8361,0,V
4,2,S,7,13,3,2024,7439,187,V
5,1,T,19,7,11,8394,1029,3762,D
5,1,T,17,4,7,9616,0,11149,D
