INDEX,ROLE,E,A,D,DMG,H,MIT,GAME
1,TANK,24,11,6,14219,5712,5268,DRAW
1,TANK,37,9,14,16544,0,4867,DRAW
1,DAMAGE,32,7,5,10855,236,0,DRAW
1,SUPPORT,28,9,7,16485,7915,0,DRAW
1,SUPPORT,35,9,16,15379,5204,636,DRAW
1,TANK,25,2,11,11755,0,29248,DRAW
1,TANK,28,11,9,11526,548,8830,DRAW
1,DAMAGE,13,5,19,10733,6065,360,DRAW
1,SUPPORT,17,11,10,7320,14318,4199,DRAW
1,SUPPORT,12,23,11,6870,21235,0,DRAW
2,TANK,33,4,10,17075,155,15419,DRAW
2,TANK,31,7,8,19388,0,12958,DRAW
2,TANK,34,10,17,14224,1207,11153,DRAW
2,SUPPORT,16,19,11,4492,19513,1242,DRAW
2,SUPPORT,26,27,11,9113,17077,0,DRAW
2,TANK,22,1,13,16975,0,8848,DRAW
2,TANK,24,3,8,14711,707,18537,DRAW
2,TANK,25,12,12,20676,0,12186,DRAW
2,SUPPORT,34,21,11,18301,9817,0,DRAW
2,SUPPORT,10,25,13,2899,22593,638,DRAW
