I,T,RO,E,A,DE,DA,H,M,RE
1,1,T,26,1,7,12254,977,16931,V
1,1,T,33,9,5,13040,1295,14396,V
1,1,D,27,13,2,7757,2061,8948,V
1,1,D,26,0,9,8794,0,0,V
1,1,S,15,35,4,3149,14944,0,V
1,1,S,19,25,4,5879,10157,1516,V
1,2,T,17,2,8,14623,1317,5038,D
1,2,T,10,7,11,12073,0,9067,D
1,2,D,11,1,9,9605,227,0,D
1,2,D,13,1,8,9791,751,789,D
1,2,S,8,9,7,5942,11575,1288,D
1,2,S,3,14,8,1914,10209,0,D
2,1,T,13,6,0,3996,0,1644,V
2,1,T,8,2,2,3333,0,1490,V
2,1,D,5,1,0,2465,78,2369,V
2,1,D,10,1,0,4659,0,97,V
2,1,S,5,7,0,1248,4378,281,V
2,1,S,3,13,1,1291,4376,0,V
2,2,T,0,0,5,2668,106,4423,D
2,2,T,2,1,2,3161,0,3130,D
2,2,D,1,0,2,4198,0,0,D
2,2,S,2,2,2,1103,3963,2653,D
2,2,S,2,0,3,1930,1705,0,D
2,2,S,2,0,3,1320,2960,461,D
3,1,T,33,15,4,11372,0,8038,V
3,1,T,29,4,8,12366,50,6522,V
3,1,T,25,9,7,11431,520,2076,V
3,1,D,27,7,0,13315,1309,8903,V
3,1,S,17,27,3,3433,21312,0,V
3,1,S,18,28,4,5278,12185,879,V
3,2,T,14,5,8,11702,602,13579,D
3,2,T,13,3,9,13719,185,6160,D
3,2,D,11,4,8,15665,44,756,D
3,2,D,11,3,12,7659,0,231,D
3,2,S,5,11,6,1413,15646,1249,D
3,2,S,12,18,5,4637,12259,1220,D
4,1,T,18,5,5,5398,234,2608,V
4,1,T,23,9,1,5263,190,5333,V
4,1,D,17,5,1,6723,725,1424,V
4,1,D,22,0,2,9223,860,0,V
4,1,S,13,22,4,4482,4443,0,V
4,1,S,12,18,1,2614,7257,1232,V
4,2,T,5,2,6,4676,562,2057,D
4,2,T,7,1,6,5319,5,11187,D
4,2,D,7,1,8,6580,694,685,D
4,2,D,5,1,7,7943,0,28,D
4,2,S,4,6,6,2626,6997,731,D
4,2,S,2,6,7,976,7763,0,D
5,1,T,24,1,3,9496,0,16517,V
5,1,T,31,11,5,6859,0,4060,V
5,1,D,32,0,5,9316,1516,0,V
5,1,D,31,6,5,10926,177,684,V
5,1,S,24,9,2,4795,11066,0,V
5,1,S,7,16,5,1562,5621,471,V
5,2,T,15,5,7,10700,0,11572,D
5,2,T,10,2,13,5546,1019,4266,D
5,2,D,7,3,16,4435,2031,2683,D
5,2,D,10,2,12,5398,21,66,D
5,2,S,5,2,11,5375,1950,1194,D
5,2,S,4,7,12,2298,7770,56,D
6,1,T,30,9,13,13408,0,10776,V
6,1,T,27,12,9,13934,243,15864,V
6,1,D,28,2,7,14432,0,1845,V
6,1,D,42,2,14,16416,167,2238,V
6,1,S,35,16,3,11585,16859,0,V
6,1,S,30,14,9,10812,11174,2537,V
6,2,T,36,8,16,17332,112,28104,D
6,2,T,35,14,12,10872,371,9419,D
6,2,D,32,1,13,16979,954,129,D
6,2,D,26,15,11,9480,2080,13356,D
6,2,S,37,22,10,7338,13594,0,D
6,2,S,4,33,11,1112,18098,0,D
7,1,T,19,5,6,9355,0,20248,V
7,1,D,25,0,3,9224,0,0,V
7,1,D,14,2,9,8010,0,1822,V
7,1,S,6,11,5,4911,4639,0,V
7,1,S,9,16,6,2807,7066,929,V
7,1,S,14,13,6,6649,8909,0,V
7,2,T,25,1,0,6685,0,1932,D
7,2,T,10,5,9,7798,75,6037,D
7,2,D,14,1,5,10589,182,2323,D
7,2,D,11,1,8,6890,0,0,D
7,2,S,7,16,7,3067,9150,0,D
7,2,S,8,11,6,1835,12342,0,D
8,1,T,31,3,6,13148,1859,11259,V
8,1,T,22,11,7,8889,325,8748,V
8,1,D,30,0,1,10365,0,0,V
8,1,D,23,1,6,8893,0,462,V
8,1,S,13,15,5,1938,13210,2006,V
8,1,S,19,23,5,3663,14820,445,V
8,2,T,20,8,7,13980,0,13401,D
8,2,T,16,9,9,8564,0,9484,D
8,2,D,10,0,6,4644,0,1713,D
8,2,D,18,0,11,12699,0,927,D
8,2,S,20,21,7,7182,10909,0,D
8,2,S,7,16,7,1403,13541,1154,D
9,1,T,25,1,6,13066,200,3747,V
9,1,T,25,7,6,9426,196,9334,V
9,1,D,32,0,3,11489,0,0,V
9,1,D,20,17,7,8778,4198,397,V
9,1,S,23,22,4,5748,14261,0,V
9,1,S,8,9,9,3163,8781,1475,V
9,2,T,12,5,10,9032,0,4292,D
9,2,T,12,5,8,8807,3653,2694,D
9,2,D,12,2,9,12915,0,8725,D
9,2,D,20,3,9,12738,200,1109,D
9,2,S,8,10,8,5658,8724,865,D
9,2,S,11,10,10,7151,8089,884,D
10,1,T,34,13,1,10207,318,13463,V
10,1,D,23,0,4,11499,0,0,V
10,1,D,27,3,10,11637,609,359,V
10,1,D,27,4,8,11382,0,5646,V
10,1,S,22,14,6,7733,11437,0,V
10,1,S,18,24,5,5607,12113,1024,V
10,2,T,14,7,11,8561,285,11951,D
10,2,D,19,3,4,14204,0,0,D
10,2,D,14,0,10,10175,54,1288,D
10,2,S,8,0,9,8258,5006,7653,D
10,2,S,4,5,13,4292,6958,1177,D
10,2,S,7,6,7,3479,14162,1756,D
