I,T,RO,E,A,DE,DA,H,M,RE
1,1,T,19,7,0,5603,0,5294,V
1,1,D,2,0,4,916,0,0,V
1,1,D,14,0,1,5312,0,310,V
1,1,S,6,12,2,1459,3800,333,V
1,1,S,13,6,2,2178,4893,0,V
1,2,D,6,2,3,1910,532,0,D
1,2,S,1,2,4,2209,2835,54,D
1,2,S,0,2,8,1648,1977,0,D
1,2,T,5,0,4,2551,1745,692,D
1,2,D,3,1,8,3675,0,0,D
2,1,T,14,5,3,4126,169,1650,V
2,1,D,18,3,3,3931,0,0,V
2,1,D,20,0,5,4965,702,0,V
2,1,S,7,10,3,2299,4578,523,V
2,1,S,8,18,1,1497,5024,215,V
2,2,T,12,0,6,4163,0,7134,D
2,2,S,3,6,6,1572,3746,0,D
2,2,S,5,3,5,2312,2940,0,D
2,2,D,5,0,5,4411,0,0,D
2,2,D,7,1,6,4031,190,1382,D
3,1,T,21,14,6,10266,1979,3093,V
3,1,D,22,2,5,9397,0,0,V
3,1,D,17,0,5,10004,0,2025,V
3,1,S,10,14,6,3514,8638,1956,V
3,1,S,1,23,4,150,12953,602,V
3,2,D,16,2,5,12654,2146,0,D
3,2,D,16,0,9,9705,0,533,D
3,2,S,7,10,6,2251,9691,1816,D
3,2,S,12,8,6,5274,9546,0,D
3,2,T,10,2,5,7857,0,8585,D
4,1,T,13,6,2,6543,0,3374,V
4,1,D,14,2,2,5658,0,0,V
4,1,D,13,1,6,5432,0,0,V
4,1,S,16,13,2,3268,10767,0,V
4,1,S,16,9,2,4998,5616,124,V
5,1,T,18,5,5,7774,0,14472,V
5,1,D,21,2,2,7377,0,0,V
5,1,D,15,7,7,9430,401,50,V
5,1,S,12,14,4,3257,9624,181,V
5,1,S,9,11,4,1680,6711,510,V
5,2,S,7,8,6,3030,6877,0,D
5,2,T,8,1,5,4857,0,19264,D
5,2,D,11,1,8,6127,0,0,D
5,2,D,12,2,5,11117,0,875,D
5,2,S,6,9,5,944,11150,836,D
6,1,T,25,2,7,12863,0,8528,V
6,1,D,18,6,7,9925,0,0,V
6,1,D,23,2,9,12569,1114,76,V
6,1,S,11,20,6,2956,12707,962,V
6,1,S,14,17,7,4989,9313,0,V
6,2,T,22,3,9,10489,0,24259,D
6,2,D,16,3,8,8985,1618,88,D
6,2,D,24,3,7,11949,0,126,D
6,2,S,13,11,7,3134,11508,1415,D
6,2,S,5,23,8,1325,16192,1275,D
7,1,T,18,8,8,12160,0,13776,V
7,1,D,26,7,5,9726,0,0,V
7,1,D,23,6,17,9482,0,782,V
7,1,S,24,17,9,8015,16035,572,V
7,1,S,13,18,9,2103,16370,1188,V
7,2,S,12,14,8,4674,12423,0,D
7,2,S,17,20,6,3734,12903,599,D
7,2,D,27,2,7,13137,1282,535,D
7,2,D,32,0,11,16480,0,1016,D
7,2,T,22,5,7,13271,0,21708,D
8,1,T,32,9,7,12145,88,13521,V
8,1,D,31,5,9,8592,113,0,V
8,1,D,40,5,10,13325,1290,8,V
8,1,S,38,14,9,8998,11434,0,V
8,1,S,16,36,3,2873,20557,833,V
8,2,D,22,5,16,10157,324,191,D
8,2,S,13,19,10,4562,12110,924,D
8,2,S,13,17,12,5931,13246,159,D
8,2,D,20,2,16,13825,45,1039,D
8,2,T,21,6,11,16199,0,6857,D
9,1,T,15,2,1,5083,0,3754,V
9,1,D,11,0,1,6149,0,0,V
9,1,D,16,0,2,5687,0,6,V
9,1,S,9,16,0,1807,5470,164,V
9,1,S,10,13,1,1365,4141,108,V
9,2,S,0,0,5,853,2404,0,D
9,2,S,0,0,9,838,2990,0,D
9,2,T,3,0,2,3435,4658,627,D
9,2,D,1,0,7,3667,659,95,D
9,2,D,1,0,7,3858,88,926,D
10,1,T,27,11,3,7810,845,4979,V
10,1,D,33,0,3,8695,930,0,V
10,1,D,33,1,3,10112,1229,0,V
10,1,S,13,27,1,2055,13359,413,V
10,1,S,18,16,3,6674,7700,0,V
10,2,S,4,6,7,2695,9098,572,D
10,2,T,7,3,11,7776,0,11565,D
10,2,S,4,4,13,3116,9059,0,D
10,2,D,3,0,9,7801,0,3585,D
10,2,D,8,1,7,7962,1106,12,D
11,1,T,26,5,3,13318,0,16814,V
11,1,D,34,6,8,12935,457,260,V
11,1,D,29,2,9,13717,0,184,V
11,1,S,23,20,2,11074,12750,347,V
11,1,S,2,29,3,275,20169,0,V
11,2,D,16,0,11,12834,1808,2130,D
11,2,T,9,1,9,10710,2990,6100,D
11,2,D,14,5,11,13091,145,5,D
11,2,S,6,14,9,5482,11491,3174,D
11,2,S,6,13,7,3695,17876,0,D
12,1,T,20,8,0,3413,0,9224,V
12,1,D,14,0,2,4764,0,587,V
12,1,D,15,6,2,5165,380,138,V
