Q,I,T,Ro,E,A,D,Dm,H,M,Re
R,1,1,T,0,0,8,2947,1425,4611,De
R,1,1,D,1,0,3,1818,0,650,De
R,1,1,D,2,0,7,4735,487,308,De
R,1,1,S,1,0,3,2078,2748,0,De
R,1,1,S,1,1,3,269,5848,189,De
R,1,2,D,17,0,1,5906,0,1044,V
R,1,2,D,12,0,1,5907,0,0,V
R,1,2,S,8,6,0,2790,4794,0,V
R,1,2,S,10,13,0,2226,5556,208,V
R,1,2,T,17,4,0,4381,0,7181,V
R,2,1,T,23,9,10,10899,163,5789,De
R,2,1,D,22,3,4,7938,0,340,De
R,2,1,D,21,2,11,11522,1304,231,De
R,2,1,S,0,28,10,60,11726,0,De
R,2,1,S,17,14,7,3894,9805,666,De
R,2,2,S,13,14,7,3694,8473,316,V
R,2,2,S,18,20,7,5677,11922,469,V
R,2,2,D,32,3,6,10120,248,1281,V
R,2,2,D,24,1,7,8344,0,0,V
R,2,2,T,26,12,8,9395,0,6943,V
R,3,1,T,28,9,8,10186,1773,2747,De
R,3,1,D,22,1,8,8198,0,1646,De
R,3,1,D,38,1,6,11016,0,2151,De
R,3,1,S,20,27,6,4351,6199,113,De
R,3,1,S,10,26,4,2911,10401,0,De
R,3,2,S,14,19,12,4031,9338,1138,V
R,3,2,T,18,10,8,8550,0,6754,V
R,3,2,D,12,2,10,8030,2979,0,V
R,3,2,D,20,0,10,7761,0,360,V
R,3,2,S,10,14,11,3000,9102,528,V
R,4,1,T,19,3,5,8889,0,4876,De
R,4,1,D,15,0,2,6605,33,273,De
R,4,1,D,11,2,6,5815,486,0,De
R,4,1,S,13,6,4,5963,6442,0,De
R,4,1,S,1,20,3,60,11359,0,De
R,4,2,D,15,1,8,6371,893,402,V
R,4,2,S,4,8,5,1343,9564,253,V
R,4,2,D,9,4,7,7314,0,1785,V
R,4,2,T,14,2,3,6561,0,4412,V
R,4,2,S,15,6,3,6721,7679,0,V
R,5,1,T,4,0,6,2900,0,5068,De
R,5,1,D,5,1,3,4054,0,0,De
R,5,1,D,1,1,6,2518,61,334,De
R,5,1,S,3,2,6,1769,3174,0,De
R,5,1,S,3,5,5,1565,3681,293,De
R,5,2,D,10,2,2,2455,0,0,V
R,5,2,S,11,9,2,1554,4459,735,V
R,5,2,D,11,0,2,3734,0,102,V
R,5,2,T,23,7,0,6419,0,6264,V
R,5,2,S,9,13,1,1973,4810,0,V
R,6,1,T,31,6,11,15611,0,14670,De
R,6,1,D,37,5,11,16752,0,0,De
R,6,1,D,29,0,20,14730,285,1026,De
R,6,1,S,16,19,14,7005,8404,602,De
R,6,1,S,3,38,7,612,24806,0,De
R,6,2,D,32,3,13,15292,622,1120,V
R,6,2,D,38,4,12,15901,364,0,V
R,6,2,T,28,5,12,13258,0,28037,V
R,6,2,S,23,32,9,6582,15769,4161,V
R,6,2,S,24,25,9,5125,15469,1229,V
R,7,1,T,11,3,10,7553,0,7788,De
R,7,1,D,17,1,7,7305,0,0,De
R,7,1,D,17,0,11,8286,290,0,De
R,7,1,S,3,15,9,525,9840,0,De
R,7,1,S,14,11,6,4481,6126,579,De
R,7,2,T,18,8,9,7803,0,5778,V
R,7,2,S,13,16,5,2706,7427,537,V
R,7,2,D,31,1,8,9026,1200,127,V
R,7,2,D,29,15,4,8568,1515,0,V
R,7,2,S,15,19,2,3094,7455,155,V
R,8,1,T,21,3,8,14428,225,9731,De
R,8,1,D,32,12,9,11759,33,4656,De
R,8,1,D,24,6,10,14677,995,354,De
R,8,1,S,20,20,8,7031,13027,0,De
R,8,1,S,16,20,10,4694,10602,512,De
R,8,2,D,30,2,14,15915,0,2128,V
R,8,2,D,25,0,11,14375,1816,318,V
R,8,2,T,14,6,12,10895,0,10481,V
R,8,2,S,7,19,7,1877,15257,184,V
R,8,2,S,6,21,4,2015,13420,0,V
R,9,1,T,9,1,7,4892,0,14978,De
R,9,1,D,14,5,2,8075,14,3358,De
R,9,1,D,15,0,3,11799,0,1556,De
R,9,1,S,2,13,5,3794,8167,477,De
R,9,1,S,14,12,7,4700,9022,0,De
R,9,2,S,13,15,5,3046,10034,3022,V
R,9,2,D,15,5,8,6198,693,1789,V
R,9,2,S,11,14,5,2972,9373,293,V
R,9,2,T,20,7,3,8400,0,7131,V
R,9,2,D,14,0,5,5605,0,0,V
R,10,1,T,13,2,12,7902,0,14402,De
R,10,1,D,17,4,7,10475,186,6204,De
